Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1944,726.34,1519.03,566.11,291.66,1353.46,562.50,415.34,1070.07,1126.30,1053.04,1421.44,1362.71,1788.03,416.78,873.71,865.00,944.08,869.10,1088.66,1511.29,1006.05,1094.67,1039.43,709.09,770.44,1537.88,1009.34,400.75,684.93,241.68,1020.81,1162.32,338.98,949.03,1329.51,505.10,851.84,944.12,555.44,1024.30,1045.48,1251.81,581.45,1371.73,788.51,307.98,972.66,1147.14,718.97,1165.52,765.18,399.44
1945,774.62,1462.01,580.20,254.20,1586.81,649.35,433.64,1261.37,1309.03,1173.04,1436.50,1329.92,1812.46,538.92,1158.51,1246.99,883.93,736.68,1372.00,1530.52,1217.48,1249.55,1267.44,876.99,694.05,1521.27,1278.24,373.58,594.38,309.13,1275.48,1315.61,244.07,1264.58,1364.13,388.53,1128.62,1030.82,858.09,1254.47,1179.02,1343.81,429.92,1499.13,700.63,356.36,1290.84,1189.16,1107.97,1282.91,873.96,414.77
1946,725.04,1617.90,534.59,320.98,1487.70,414.45,427.16,977.97,957.06,914.69,1425.67,1277.57,2021.19,505.82,992.12,935.70,875.71,675.55,1202.82,1754.20,979.45,946.98,1011.06,689.52,700.50,1666.17,1073.21,427.90,603.39,279.28,1028.71,982.75,322.55,958.59,1231.36,444.50,896.38,922.53,714.83,980.40,1001.53,1142.65,587.53,1403.72,785.18,343.17,1026.44,999.97,1036.60,974.63,745.56,384.09
1947,696.50,1557.32,549.90,223.24,1074.37,323.47,462.33,1119.16,1028.80,979.48,1869.64,1539.40,1745.74,455.27,957.11,1031.60,831.75,662.73,1100.98,1500.87,997.09,997.76,1059.97,812.03,629.50,1494.56,982.84,399.67,587.63,175.58,1032.35,1138.47,270.37,1104.60,1315.29,481.43,1041.79,799.59,704.59,1032.99,1044.99,1447.72,438.52,1149.61,591.15,357.61,1076.27,1019.74,1009.56,988.14,748.25,412.76
1948,719.94,1628.23,569.75,238.50,1251.48,496.52,417.25,1161.35,1467.81,1370.55,1556.70,1562.58,2290.80,529.00,936.28,1088.25,706.57,722.02,1341.36,1308.21,982.81,1404.42,1125.25,701.59,579.89,1593.02,993.18,434.06,548.74,189.41,1002.67,1326.37,295.74,1043.06,1377.06,439.91,1078.24,788.45,885.81,1162.55,1188.14,1516.94,468.74,1483.82,504.74,291.76,1011.63,1344.65,1254.65,1345.21,623.16,329.00
1949,715.69,1455.22,586.47,324.75,1402.11,370.52,443.63,954.90,1047.05,999.66,1407.77,1253.91,1710.23,390.20,1038.57,1131.79,724.56,796.42,1337.91,1485.58,917.35,1032.81,893.04,809.68,672.83,1551.63,1198.56,327.99,612.21,208.46,899.07,1031.46,383.63,924.66,1292.21,410.86,957.50,962.83,547.06,969.49,889.07,1174.07,422.70,1455.54,794.22,340.68,904.20,1113.85,905.10,1159.00,708.16,354.53
1950,705.59,1349.83,473.13,174.45,1445.83,625.46,330.63,1070.48,998.82,1073.80,1259.82,1116.94,2322.24,541.51,1038.47,1286.99,734.57,664.73,1507.96,1471.53,1146.21,1096.58,1034.26,883.35,664.38,1534.77,996.33,417.79,558.99,238.75,1009.62,1102.82,261.97,1088.65,1105.18,475.33,1161.22,852.57,921.12,1195.55,997.88,1049.15,439.11,1546.79,597.54,230.21,998.55,1064.41,1273.26,1288.80,766.05,336.68
1951,731.74,1354.51,531.47,357.85,1307.23,595.60,426.22,1242.11,1104.01,1014.39,1286.38,1121.25,2195.68,523.29,1084.08,1095.78,1065.96,992.65,1380.01,1217.88,1269.20,1090.32,1235.14,936.45,784.14,1400.45,1252.10,436.31,750.77,248.77,1245.04,1222.94,261.87,1125.47,1049.22,433.63,1042.73,864.65,818.76,1105.67,1126.86,986.00,531.49,1492.56,517.13,338.26,1140.12,1045.62,1074.12,1197.51,963.22,342.56
1952,640.87,1165.59,558.04,349.81,1022.24,718.36,363.81,1213.54,1331.59,1236.10,1327.41,1149.81,1716.41,377.43,836.87,972.33,758.03,503.18,1061.61,1204.05,1003.90,1308.78,1089.52,729.19,581.81,1017.30,817.31,289.20,496.50,277.70,1077.29,1391.40,294.42,1013.01,1215.57,309.11,897.72,629.07,617.25,1177.99,1074.17,1173.60,339.06,1092.92,561.72,294.55,1039.15,1142.22,676.87,1079.17,728.29,284.12
1953,666.30,1512.03,507.19,203.97,1103.19,423.46,390.31,1399.83,1192.41,1050.65,1712.36,1478.32,1278.79,468.14,695.74,792.33,648.78,547.12,946.60,1571.69,1133.74,1132.24,1373.51,740.84,780.66,1452.72,643.42,414.36,511.08,162.33,1151.23,1244.75,252.17,987.10,1129.38,514.86,728.54,794.85,931.75,1018.63,1466.79,1190.28,536.63,1170.11,581.54,263.84,1025.15,949.29,1201.94,942.29,765.22,296.53
